primary_key,age,income,years_experience,target
5269dfbf-52b2-42d6-a07e-c9f60c877168,56.0,70794.0,12.0,0.0
759efbcf-0c75-4bec-9435-4750dd3f4a00,46.0,109459.0,0.0,0.0
0b32735f-32a3-40f9-beed-986ddc56ad34,32.0,147932.0,13.0,0.0
4be6eb0e-4875-45d7-8748-6b6a2b6da6f5,25.0,80192.0,28.0,1.0
cdc3a342-5c99-4f43-bbaa-d0579b3a97b6,38.0,57703.0,2.0,0.0
054cc5ac-e922-48db-baf4-be147681dfd3,56.0,114193.0,23.0,1.0
9cd92b2b-d5a4-40ae-9ee0-96de7445eaa3,36.0,99165.0,0.0,0.0
955fae3a-a45d-4669-b1db-a916d6867f23,40.0,97650.0,9.0,0.0
c4d262df-0959-4324-93ad-8e9aa4536d36,28.0,86516.0,12.0,0.0
1ebf6460-b058-48ca-8b44-363e88250223,28.0,129981.0,35.0,1.0
fc86d1d3-1cb4-4e5f-95e2-4fed43d6253d,41.0,131398.0,8.0,0.0
3824a277-5bf0-440f-a8ba-ab7edbd1ae2e,53.0,121110.0,13.0,0.0
b9013463-6d6f-47f8-b3e6-21d772303b4a,57.0,127885.0,35.0,1.0
426a9c44-9d3a-47c0-9a35-955f5f14b6cf,41.0,52257.0,9.0,0.0
d9685870-f872-4258-b66f-a8e2c1d61e65,20.0,130588.0,39.0,0.0
433d3011-3639-4031-9050-2f516899e4db,39.0,133356.0,22.0,0.0
1abbe68e-3051-4e83-b0be-c702f7f13131,19.0,113509.0,34.0,1.0
3489ceba-4be7-4190-bada-62f3fd7474fc,41.0,121273.0,6.0,0.0
d7f9f90c-2b28-4722-9b6c-14768f0059d2,47.0,81672.0,34.0,0.0
96bcec5f-ea37-4761-8aa6-cfa0a024981e,55.0,93308.0,1.0,1.0
f35a23cb-437c-450a-a318-83898ffd5ab9,19.0,107583.0,14.0,1.0
45a4164a-c47c-459e-a4dc-8ad76af97297,38.0,149336.0,8.0,0.0
f72368af-f2ec-46b6-9903-130fe1e8c14b,50.0,52113.0,16.0,0.0
5ce181f7-ddb3-406e-a5a2-0c65cb3868a0,29.0,30694.0,38.0,0.0
bc77ce90-accd-4bd4-bfb0-33a9d2e2dc85,39.0,45588.0,17.0,0.0
b9445e4e-83d8-450a-a1a1-3f2444138e9f,42.0,91756.0,14.0,1.0
aae59f56-6b4f-4225-b908-d49420cb5433,44.0,94085.0,17.0,1.0
f022c45c-3951-4540-a2dd-7eb495ef69ab,59.0,141359.0,23.0,1.0
80feb95a-5f76-41e3-9f74-aff0b69fcc9b,45.0,144384.0,22.0,0.0
731a962b-5136-4cef-8c19-0e5ce7f59d89,33.0,91142.0,11.0,1.0
43b704e4-68e4-4c5d-825a-40c15a598f37,32.0,94373.0,22.0,1.0
4dd205e0-a47b-41c1-bdf4-67cc5e128698,20.0,115603.0,20.0,0.0
04c66ea0-bd8e-4564-b2a6-85c7d394904c,54.0,36704.0,25.0,0.0
c360a2ea-cf91-4bdb-aa07-107a5e6682cc,24.0,70136.0,7.0,0.0
8057a64f-e4f8-48ee-be4b-441059377db5,38.0,97507.0,29.0,0.0
9a962705-304e-4176-ab56-11680c388323,26.0,77361.0,33.0,0.0
caba51db-d45d-4dd1-8e0b-7064171b20b8,56.0,88847.0,1.0,0.0
5e4fe6d7-6557-49bd-9cbd-f3997b58c84f,35.0,136359.0,4.0,1.0
805b6405-8854-4036-a108-d28213bd5ad4,21.0,41441.0,30.0,0.0
26983d3b-a995-43ae-bf72-23f2dfea9ad2,42.0,127012.0,32.0,0.0
d2cb9ab3-e3a0-4e49-bae6-00e2c4391ce4,31.0,148906.0,3.0,1.0
eb21a461-cca1-4dcd-b4db-a777d26aa187,26.0,44677.0,5.0,1.0
62f5b3af-34f8-4455-a041-819a5e29f824,43.0,57818.0,22.0,1.0
5042c43a-59c7-4e9b-9406-163f1cf13df7,19.0,31868.0,18.0,1.0
f370325b-be43-4f03-b2b7-b955b446ed0d,37.0,113591.0,7.0,1.0
4f6136ad-7eaf-4bc3-a4c9-ee6bead5d86d,45.0,97264.0,38.0,0.0
649f92e7-5807-4068-977b-0b7ad16c4242,24.0,103168.0,12.0,0.0
bb9875a3-e8fe-434d-bb29-262f8155c5b8,25.0,42043.0,0.0,1.0
3bdaca8e-f87e-44cf-8437-be674b1ef037,52.0,101939.0,5.0,1.0
5395baf6-cc82-4308-ac1e-915c7b9ece18,31.0,45732.0,6.0,1.0
aec8ba40-df8a-46a7-8c13-eda16a76b38f,34.0,85244.0,26.0,1.0
dea0d9bf-b50e-4345-a236-a0727aebe9fc,53.0,48526.0,14.0,0.0
5b3a9f8a-3f25-4938-8561-50d40b29cd3a,57.0,39340.0,33.0,1.0
2a52b239-1dd6-40c9-b679-5ba78650ec67,21.0,134488.0,22.0,1.0
2d923592-981e-4766-989e-b0ecf6a00211,19.0,52394.0,23.0,0.0
f5944a16-79ee-45d0-ae96-3affd0f3af45,23.0,128557.0,14.0,0.0
b710ec0d-bcc7-4429-8749-2e13ccf78225,59.0,34102.0,34.0,0.0
1e316a45-196e-43c8-bd4b-f2c27784019f,21.0,131846.0,3.0,1.0
0b9dc450-2680-4659-9395-25898d63a4c7,46.0,49159.0,36.0,1.0
34b73de7-6184-4018-a71d-30c87e001c73,35.0,95092.0,16.0,0.0
52ef1cb5-0c81-4d96-98c0-470605cd9b03,43.0,36212.0,30.0,1.0
